Nu.,word
1,abandon
2,Abate 
3,Abhor 
4,Abide 
5,abolish 
6,abroad
7,abrupt
8,Absorb 
9,absurd
10,Abundant
11,abuse
12,Abuse 
13,accelerate
14,accentuate
15,acceptable
16,acclaim
17,Acclimate 
18,account
19,accurate
20,acknowledge
21,acquire
22,actually
23,Adage 
24,adequate 
25,Adolescent 
26,advanced
27,advantage
28,advent
29,adverse
30,advice
31,Aegis 
32,Affluent 
33,affordable
34,aggravating
35,agile
36,agitate
37,albeit
38,Alleviate 
39,allocation
40,allow
41,alter
42,alter 
43,Altercation 
44,amateur 
45,amaze
46,ambiguous
47,Amend 
48,amenity
49,ample
50,amusement
51,analogous
52,analyze
53,ancient
54,annoying
55,annual
56,anticipate
57,Anticipate 
58,antiquated
59,Antithesis 
60,apparent
61,Appeal 
62,appealing
63,Appoint 
64,approach 
65,appropriate
66,approximately
67,aptly
68,arbitrary
69,archaic
70,Architect 
71,arid
72,assemble 
73,assert
74,assimilate
75,assortment
76,astounding
77,astute
78,Atheist
79,Attract
80,attractive
81,audible 
82,Authority
83,authorize
84,autonomous
85,Avid 
86,avoid
87,Avoid 
88,Aware
89,Awesome
90,Awkward
91,bachelor
92,baffle
93,Baffle 
94,Baggage 
95,balanced
96,Ban
97,bear
98,Beckon 
99,Belligerent 
100,Beneficiary
101,benefit
102,Benevolent 
103,Benign 
104,Betray 
105,bewildered
106,Bizarre 
107,blend 
108,blind
109,block
110,Blunder
111,blur
112,brawl 
113,briefly
114,brilliant
115,broaden
116,brutal
117,bulky
118,burgeon
119,Cajole 
120,Calamity
121,Calculate
122,caliber
123,campus
124,Cancel 
125,Candor 
126,Capacity
127,capsule
128,Captive
129,casual
130,Caustic 
131,caution
132,Cautious
133,Cease 
134,celebrated
135,century 
136,challenge
137,challenge 
138,chaotic
139,characteristic
140,charisma
141,chiefly
142,Chronological 
143,Cinema
144,circulate
145,circulate 
146,Clandestine 
147,clarify
148,classify
149,clever
150,Cliché 
151,client 
152,coarse
153,Coerce 
154,coherent
155,Coherent 
156,Coincide
157,Collapse 
158,Colleague
159,Collide
160,commence 
161,Commend 
162,commonplace
163,comparatively
164,compel
165,Compel 
166,compete 
167,Complacent
168,complex
169,"Comprehend , "
170,comprehensive 
171,conceal
172,conceivably
173,conclude 
174,condensed
175,Condone 
176,Confident
177,confidential
178,Confine
179,confirm
